feature,importance,category
src_sup_sage_25,0.0040156725,Supervised GraphSAGE (PRIMARY)
src_sup_sage_26,0.0007530606,Supervised GraphSAGE (PRIMARY)
src_sup_sage_27,0.01262524,Supervised GraphSAGE (PRIMARY)
src_sup_sage_28,0.013681478,Supervised GraphSAGE (PRIMARY)
src_sup_sage_29,0.0014303937,Supervised GraphSAGE (PRIMARY)
src_sup_sage_30,0.0004554681,Supervised GraphSAGE (PRIMARY)
src_sup_sage_31,0.0017336422,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_0,0.0009913245,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_1,0.0034007793,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_2,0.0006746655,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_3,0.0034798686,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_4,0.0004149812,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_5,0.004474789,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_6,0.002292574,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_7,0.0005336261,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_8,0.0035295961,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_9,0.0035868504,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_10,0.015843403,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_11,0.0005463092,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_12,0.0014474442,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_13,0.0011655722,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_14,0.001901002,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_15,0.0010805156,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_16,0.0008394397,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_17,0.0028967173,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_18,0.0026190642,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_19,0.0013060494,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_20,0.0022830977,Supervised GraphSAGE (PRIMARY)
dst_sup_sage_21,0.0012304693,Supervised GraphSAGE (PRIMARY)
