hub_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
IND201301AAM,0.071846895,-0.14137466,0.4409335,0.29198343,0.8952652,-0.36358503,0.0033639865,0.7621909,-0.06722951,0.04614965,-0.31916383,-0.48112294,-0.0020523956,0.28182864,0.027015323,-0.4662098,-0.08932174,0.32422805,0.29134223,0.30266798,0.3666478,0.42050546,0.11667381,-0.18936421,0.95573276,0.54205406,-0.8411711,0.07914198,0.38779432,0.26587245,0.1975746,0.54001105
IND209304AAA,0.6966506,-0.6595899,0.15592553,0.7595582,0.20200245,-0.6575895,0.40814018,0.55450183,0.8105997,0.22858645,0.115518026,-1.2044001,-0.16612872,0.9375846,0.14680026,0.18457982,-0.42520368,-0.056233045,-0.25289738,0.47635776,0.45312583,0.19101931,0.32919848,-0.5235432,0.23960017,0.36004,-0.6399126,-0.21554245,1.0469196,-0.35459822,0.637375,0.5700963
IND282002AAD,0.124462456,-0.41359657,0.83318895,0.99046445,0.39314458,0.011024281,0.2101171,1.1820834,-0.3138376,0.8368798,-0.5735651,-0.4629805,-0.12213165,0.6034306,0.15576993,-0.6524965,0.0048886975,0.3062433,0.13577157,0.454098,0.1289324,1.0832248,0.10209998,-0.6029146,0.33438307,0.2389457,-0.2222542,-0.83098096,0.3064621,0.35011977,0.5145087,0.7014776
IND301001AAB,-0.87738246,-0.21631908,0.23549336,0.43627572,0.46342865,-0.69245523,-0.8941971,0.22365795,0.46339136,0.14217389,-0.42012417,-0.63918775,-0.10062943,0.21812515,-0.23723441,-0.32651952,-0.3953301,-0.20398463,1.087067,0.08386317,0.42491388,0.42567137,0.6825718,-1.0768219,1.2327545,0.23981397,-1.1203401,-0.38606012,0.15385087,-0.58177364,0.61035866,1.2208705
IND301705AAA,-0.13947955,0.16564763,0.48735392,-0.00038564546,0.6923653,-0.17336436,0.3240677,0.9417128,-0.094886445,-0.22167139,-0.35225284,-0.83622986,0.500863,0.78108853,0.038157284,-0.1443905,-0.39527118,0.5777765,-0.071035124,0.12356884,0.16225691,0.53024924,-0.0906294,-0.34322482,1.6205777,0.39379832,-0.78443974,-0.39557904,0.18382415,-0.11286235,0.32922792,0.6486223
IND302014AAA,-0.53796285,-0.07008465,-0.05267815,0.47070315,0.32485947,-0.49985173,-0.22535887,0.35160145,0.44340178,0.058314197,-0.23459898,-0.8764557,-0.4079909,0.081199214,-0.37652957,-0.6472629,0.3886883,-0.15713175,0.7489099,-0.26476294,0.2569983,0.80516243,0.6037965,-1.1756005,0.72718275,-0.1871633,-0.81966037,-0.2625223,-0.13606972,-0.445315,0.3639753,0.6077169
IND302022AAD,0.21934429,-0.032356825,0.31572953,0.33017248,0.8563531,-0.31775552,-0.086398795,0.88896215,-0.12635541,0.16977505,-0.43699715,-0.5935089,0.041412964,0.23753761,0.10866151,-0.48672467,-0.15696841,0.44252422,0.33524883,0.40787458,0.06910387,0.43237478,-0.06282869,-0.1260436,0.9540399,0.38746864,-0.9083317,-0.019928958,0.28042373,0.12601294,0.17451708,0.6043463
IND328001AAA,-0.34393048,-0.5820311,0.7771657,0.8862455,0.52508944,0.07560214,-0.062132366,1.2789103,-0.3124096,0.80544364,-0.37082717,-0.265752,0.08371117,0.48362526,0.2773279,-0.72359383,-0.3434953,0.3747031,0.05750473,0.3504874,0.502773,0.93030936,0.0045018187,-0.5687418,0.4656664,0.36038795,-0.200995,-0.49567157,0.4057461,0.36898667,0.66904396,0.8341111
IND382430AAB,-0.6952601,-0.42935,-0.1366196,0.007582301,0.88280964,-1.3730947,-0.07900264,0.0886481,-0.20692697,0.08251042,-0.69108146,-1.2487737,0.6826001,-0.38667655,-0.06414663,-0.5397654,-0.07083945,0.36288646,-0.6638245,0.57252306,0.51635265,0.8889126,0.23466605,-0.5029467,0.3671483,-0.060947098,-0.7071733,-0.41568953,-0.1944044,0.24612625,0.1146802,0.289157
IND390022AAA,-0.14797889,-0.4183705,0.41163576,0.39627337,1.2243208,-1.2579579,-0.3445913,0.39168584,-0.22791553,-0.018868161,-0.2932838,-0.6350995,0.59698546,0.17692143,-0.15037793,-0.43011138,-0.43599194,0.5273939,-0.5847705,1.1722898,-0.29833442,0.75621897,0.68809694,-0.666834,0.719703,-0.09528521,-0.9246468,-0.5571959,-0.09502389,0.30799112,0.16133784,0.24857447
IND421302AAG,-0.049320307,-0.6514504,0.20631038,-0.6650963,0.5987356,-0.71150297,0.591565,0.013206335,0.0064270445,0.41376585,-0.30187818,-0.81219625,0.10883857,-0.23285125,0.40862203,-0.60910624,-0.38327903,-0.011911535,-0.15189222,0.38914216,-0.09890947,0.5843844,0.3811329,0.059730433,0.25059792,0.28407294,-0.22058468,-0.4989592,0.43339598,-0.29956093,-0.6283966,0.17205995
IND462022AAA,0.32701212,-0.722725,0.2393723,-0.35597607,0.23558223,-0.4466445,0.94696957,0.6945248,0.31095082,-0.13428357,0.2558098,-1.4163624,-0.16548792,-0.026773466,0.19400176,-0.50987893,-0.9759092,-0.4063608,0.050049376,0.78474045,0.1616656,-0.047588896,0.5656252,-0.01750083,0.35219306,-0.022167984,-0.18033,-0.26980725,0.333746,-0.45817554,0.63509125,0.45823205
IND474003AAA,-0.6482345,-0.16040036,0.97308147,1.037879,0.6161487,-0.25546792,-0.14957859,1.0539263,0.11854681,1.0652084,-0.5289776,-0.09748184,-0.04192906,0.6390617,0.26178393,-0.08690874,-0.32383612,0.17377934,0.04299672,0.5189182,0.8146952,1.2991824,0.12605183,0.027073279,0.8003098,0.7236717,-0.013248031,-0.9399788,0.38191232,0.27037033,1.2594328,0.8598729
IND501359AAE,-0.13669425,0.101263404,0.16218162,-0.3786484,0.52601945,-0.28699258,0.8127311,0.97596455,-0.2903668,-0.031321846,-0.09321114,-0.4826014,-0.49864936,-0.67648315,0.77632004,0.18000111,-0.68443125,0.058033407,0.090299144,0.84978765,0.014866629,0.36357075,0.066553734,-0.4162047,0.4919013,0.045035858,0.13570413,0.27717257,0.2420015,-0.25958392,-0.18637794,0.36235875
IND521225AAB,-0.16425078,0.14629133,0.060561944,-0.009305568,0.8940675,-0.28439724,0.066698216,1.378436,-0.2403117,-0.4169528,0.11329069,-0.19277136,-0.0965215,-0.61018026,0.072808474,0.5656378,-0.21961327,0.16221805,-0.21583994,1.1122484,0.45296285,0.52757835,0.34248194,-0.7104975,0.8444913,1.0385813,-0.00407648,-0.3186004,0.18967813,-0.534526,-0.43341988,1.1749679
IND600056AAB,-0.30693552,0.2704177,0.38041654,-0.064787194,0.54458964,-0.5733215,0.3190624,0.68868035,-0.8859781,0.098237574,-0.5013869,-0.05927729,-0.6944774,0.08493654,0.24268304,-0.21723746,-0.16510816,-0.26110402,0.17595457,0.95958805,-0.22945726,0.47070664,-0.30474573,-0.37575454,0.5886436,-0.11623701,-0.522862,0.67433876,0.4477737,-0.9093893,0.72032076,0.22937608
