hub_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
IND124112AAA,-0.22110903,-4.678173,6.646358,5.5310497,7.575752,-0.6355334,5.2826552,0.7102289,3.5097888,0.95394045,-0.36031193,-2.1272812,-1.7018704,0.28440365,1.4757551,1.8641722,0.605127,-6.5149674,3.6487746,0.21891263,-2.834682,0.40986744,2.0457582,-0.4197905,3.9718108,2.1029358,-0.08698976,-6.637842,3.06696,-1.747338,-0.45299742,-2.5512729
IND125001AAA,0.13352458,-1.2664046,1.2453952,1.6482415,2.3783765,-0.17011952,1.7581334,-0.08032027,0.5375981,-0.07746012,-0.45222527,-1.1638802,-0.7697434,-0.0015354753,0.693541,0.86509824,-0.2272115,-2.2140718,0.7392538,-0.11536251,-1.0978872,-0.06705497,1.0169873,-0.5316119,0.76670635,1.030697,0.3764224,-1.6451007,0.91742676,-0.40565106,0.09432715,-0.3863427
IND125005AAA,0.6401193,-1.9074647,-0.21568477,2.2681246,3.3269563,0.28248978,1.3849595,-0.14730054,-0.26409423,-0.9262549,-0.9134551,-1.6254659,-0.63688236,-0.64287204,1.5550277,0.6508399,-1.3619401,-2.7754962,0.053487897,0.06140909,-1.8596301,-0.41908965,1.6249247,-0.7502844,0.86798114,1.9782572,-0.050371587,-2.5079672,0.7252193,-0.3210847,0.0154098645,-0.24358116
IND125033AAA,0.9391649,-3.4876523,0.8668938,3.9850426,5.6630516,0.39582294,2.5005095,-0.027097225,0.26494813,-1.1674858,-1.3069363,-2.3310165,-1.0341973,-0.9754576,2.4339986,1.0418262,-1.8561987,-4.6344047,0.63659006,0.16073966,-2.906422,-0.5179667,2.3197625,-0.9463419,1.8786494,2.9495823,-0.29122055,-4.708273,1.5016556,-0.71669614,-0.040211514,-0.77251965
IND127021AAA,0.904096,-3.4791338,0.8779777,4.016235,5.658752,0.36753792,2.4905987,-0.028597355,0.2228651,-1.1299307,-1.2814848,-2.4003901,-1.0801632,-0.98682636,2.4087791,1.009786,-1.851699,-4.603402,0.6020658,0.14203554,-2.8897352,-0.53230304,2.3103604,-0.9454112,1.8594683,2.9772334,-0.3651988,-4.7056036,1.3814874,-0.7038432,-0.090770006,-0.79990804
IND131028AAB,0.17292117,0.67465603,1.6588169,1.2117226,2.8122766,0.15183404,1.4449651,0.87025785,0.43153137,0.45220017,-0.5278484,-2.8852134,-0.7681062,1.2987425,-0.09743206,1.4884061,-0.06614798,-2.637343,0.49384254,-0.2702964,-1.2864289,0.53604877,0.95854163,-0.17333436,0.6105166,1.2569338,1.1524526,-1.0268729,1.2293077,-0.30351126,0.49604654,-0.19786054
IND201007AAA,0.051213846,-0.63764966,1.2759486,0.9532918,1.7280104,-0.159683,1.5690982,-0.08542177,0.4748026,0.19454366,-0.122532636,-1.155211,-0.8155827,0.120353,0.097021565,0.87334234,0.055642992,-1.5800165,0.7890521,-0.14502731,-0.7580351,-0.029967666,0.8173038,-0.49172089,0.5576688,0.7449692,0.4118419,-1.104844,0.75488013,-0.2100709,0.16732895,-0.2620601
IND201301AAF,0.01519835,-0.4213724,1.2685668,0.8290813,1.547648,-0.123149976,1.4015837,-0.03970179,0.39562118,0.24287598,-0.11248568,-1.2647328,-0.8167936,0.19275069,-0.022457331,1.0022218,0.11056116,-1.4827074,0.7048577,-0.09089963,-0.7825906,0.02909623,0.7450254,-0.50578266,0.45200714,0.70551956,0.38942787,-0.90876865,0.58666575,-0.01870364,0.21702717,-0.24087578
IND201301AAM,-0.24934483,-4.6107073,6.7267075,5.588029,7.650581,-0.7118144,5.344096,0.66976714,3.4556525,1.0035548,-0.35063523,-2.4387393,-1.8027353,0.2822927,1.4258446,1.90852,0.6561531,-6.5817294,3.6422653,0.177003,-2.9076405,0.4100049,2.07339,-0.44244838,3.8686032,2.2821844,-0.011229038,-6.6583796,3.0330322,-1.6843278,-0.512732,-2.6032276
IND209304AAA,0.35852253,-0.025623798,0.8361434,1.1145003,2.0746205,0.105108365,0.95482725,0.53717315,0.22127515,0.11824748,-0.7029836,-1.9046887,-0.8074012,0.6239681,0.104062386,0.88692904,-0.48991257,-1.8929875,0.14324933,-0.5902073,-0.9082105,0.13803965,0.82441396,-0.46950886,0.39642286,1.0580056,0.5713327,-0.82142633,0.7569819,-0.2254091,0.3189676,-0.15560126
