hub_id,betweenness,closeness,pagerank,clustering,in_degree,out_degree,weighted_in,weighted_out,sla_breach_score,inbound_breach_score,bottleneck_rank
IND380005AAA,0.0,0.09468528499810072,0.0005450563647311757,0.2338800345921751,1,3,23,7,6.5,20.444444444444443,0.47627518891687654
IND627401AAA,0.0,0.0016595352986560627,0.0004000199708506851,0.1499383236753831,1,1,6,10,10.0,6.0,0.4760547858942065
IND284403AAA,0.0010004044526341468,0.08700441767997373,0.00023684363975911497,0.06773434481182805,1,2,5,2,1.5,4.285714285714286,0.47602329974811086
IND276140AAA,6.356819397198709e-06,0.000979640285905986,0.0006886262794232171,0.0,1,1,4,1,1.0,4.0,0.47564546599496227
IND828111AAA,0.0010004044526341468,0.07750209333659092,0.00023684363975911497,0.0,1,1,2,2,2.0,2.0,0.4754250629722922
IND110030AAD,0.0,0.11426396476535969,0.0006537126188590993,0.16477807724152174,2,1,44,7,5.193548387096774,34.30749354005168,0.4733942065491184
IND524201AAA,0.0,0.09239207532684854,0.0008948570744939934,0.1294746245780567,1,1,12,12,8.0,1.0,0.47337846347607054
IND623701AAA,6.99250133691858e-05,0.002400517933373232,0.00029779403088431126,0.0,1,1,5,7,2.5,5.0,0.4729848866498741
IND531162AAA,0.0010004044526341468,0.09075168987115767,0.0005177076867979201,0.0,2,0,7,0,0.0,4.5,0.47252833753148615
IND533308AAB,0.0,0.08059169696169678,0.0004829015728822977,0.20449024651104838,2,2,8,9,8.5,7.3,0.47202455919395464
IND785621AAA,7.946024246498386e-06,0.0864756946691577,0.00039875058294296806,0.13125138700095948,2,1,2,3,3.0,1.9090909090909092,0.4706706549118388
IND571124AAA,0.0,0.07839598396350593,0.0007835028206254501,0.23245074683409406,1,1,7,7,7.0,4.0,0.4699307304785894
IND632301AAA,0.0,0.08389659141194196,0.0003350285399056598,0.0,1,1,10,9,9.0,10.0,0.4696788413098237
IND785112AAC,0.0010004044526341468,0.06832483718243425,0.00021631170334751105,0.0,1,1,2,2,2.0,2.0,0.46928526448362723
IND505503AAA,0.0010004044526341468,0.0632062739628586,0.000404632032870479,0.0,1,1,1,1,1.0,1.0,0.4692222921914358
IND712410AAC,0.0019960412907203944,0.09015947096134475,0.00025955827467919634,0.0,1,1,4,2,0.6666666666666666,4.0,0.467411838790932
IND671323AAD,0.0010004044526341468,0.08815154072431966,0.00031765362018046594,0.0,1,1,3,1,1.0,3.0,0.46701826196473556
IND604303AAA,7.1514218218485476e-06,0.08741731430726614,0.0003127485886886803,0.0,1,1,4,4,4.0,1.0,0.4670025188916877
IND722143AAB,0.0,0.0733222837291857,0.000548386099842832,0.21182149177783666,1,1,8,9,7.5,8.0,0.46624685138539046
IND302004AAA,0.0,0.003274734832397119,0.0004262847025716341,0.0,1,1,20,8,7.466666666666667,12.972972972972974,0.46615239294710326
IND584123AAA,0.001999219700418994,0.07606243706437793,0.00021616606799884034,0.0,1,1,2,1,1.0,1.8,0.465632871536524
IND203396AAB,0.0,0.08017069092725326,0.00035709225100258774,0.15136917252815646,1,1,9,11,9.0,8.307692307692308,0.46545969773299745
IND410206AAB,0.0,0.07460662671319315,0.00015703890928845033,0.0,1,1,1,20,19.487179487179485,1.0,0.46530226700251887
IND122503AAA,0.0010004044526341468,0.09238602988238258,0.00023684363975911497,0.0,1,1,2,2,1.75,2.0,0.464845717884131
IND000000ACT,0.0,0.12021457794953895,0.00012801961214218093,0.15744144425864648,0,3,0,117,81.56998975259845,0.0,0.46478274559193955
IND535001AAA,0.0,0.08827704127605922,0.0006714406168374551,0.0,2,1,10,6,6.0,9.833333333333334,0.46456234256926954
IND623526AAA,9.535229095798063e-05,0.0028997562266164464,0.0004520762336001578,0.0,1,1,7,8,2.0,1.0,0.46386964735516373
IND501359AAF,3.973012123249193e-06,0.0009593584134430484,0.0005470042602103082,0.0,3,0,42,0,0.0,40.040468227424746,0.46374370277078086
IND276129AAA,1.0329831520447902e-05,0.0011567558930051663,0.00071391133830934,0.0,1,1,1,1,1.0,1.0,0.46333438287153655
IND501101AAB,7.946024246498386e-07,0.10494423054609822,0.0004887282097293861,0.10670015645454399,1,2,4,5,3.2333333333333334,3.5,0.4629565491183879
IND534001AAA,0.0,0.0738251245279476,0.0004156564124289531,0.2053451864002155,1,1,3,10,10.0,3.0,0.46273614609571784
IND273304AAA,0.0,0.07276543486580041,0.00046731432434931773,0.0,1,1,1,12,10.356164383561644,1.0,0.46265743073047855
IND414001AAA,0.000998815247784847,0.09853004516460577,0.00019484902356915659,0.13165408478414892,1,3,3,3,2.8333333333333335,3.0,0.4624055415617128
IND722151AAA,0.000999609850209497,0.06983809112993829,0.000456548595633493,0.0,1,1,4,1,1.0,1.0,0.4620119647355165
IND000000ACS,0.0010004044526341468,0.11080917357529406,0.00039305790569127907,0.08443610378740822,4,0,9,0,0.0,6.833333333333333,0.4613507556675063
IND127021AAA,7.946024246498386e-07,0.11278561400266619,0.0004360616988124357,0.05764232752500131,2,1,7,3,3.0,6.083333333333333,0.4610358942065491
IND577535AAC,0.0,0.09417880827288133,0.00044117547148861673,0.0,1,1,10,10,7.6923076923076925,10.0,0.4607052896725441
IND384265AAB,7.946024246498386e-07,0.07978254141254837,0.00040478694827086106,0.03411455031654243,1,2,7,8,3.6666666666666665,4.666666666666666,0.45909949622166246
IND673121AAA,0.0,0.08515449666471818,0.00037627605642359435,0.2389632628489452,1,1,11,8,8.0,10.5,0.4586744332493703
IND754142AAA,0.0010004044526341468,0.06555243255333,0.00033443705968953726,0.0,1,1,1,1,1.0,1.0,0.45750944584382874
IND124001AAB,0.000999609850209497,0.10166107622955271,0.00020908132522345972,0.0,1,1,3,2,2.0,3.0,0.45698992443324943
IND201007AAB,0.0,0.09827723467743837,0.00023418397181484583,0.15445160547101183,1,3,1,17,13.666666666666666,1.0,0.45664357682619644
IND781014AAA,7.946024246498386e-07,0.06565442280836076,0.00012801961214218093,0.0,0,2,0,8,8.0,0.0,0.45623425692695213
IND303503AAA,0.0,0.0031519277043782386,0.0005465973347692806,0.17399072079979605,1,1,9,8,6.9787234042553195,8.538461538461538,0.4561712846347607
IND262001AAA,1.5892048492996772e-06,0.0770380682201588,0.000509959557506778,0.11360238801384269,2,2,3,5,2.3896103896103895,2.1714285714285717,0.45591939546599497
IND131021AAA,0.0,0.0003907719210836105,0.00012801961214218093,0.0,0,1,0,42,32.11764705882353,0.0,0.45508501259445844
IND401209AAA,0.0,0.0777235772556683,0.00015181275777514483,0.0,1,1,1,15,15.0,1.0,0.4547386649874055
IND302006AAA,0.0,0.0022133480616289987,0.00030697866639985285,0.0,1,1,12,9,9.0,8.5,0.45376259445843825
IND134102AAA,0.0,0.07106792488449908,0.00027818185735543,0.0,2,1,3,11,11.0,3.0,0.45338476070528966
IND211011AAA,0.0,0.06180922084343084,0.0004424063954528514,0.0,1,1,7,8,8.0,7.0,0.45324307304785894
IND743235AAA,0.0010004044526341468,0.0869752188875978,0.0001609042777764348,0.0,1,1,1,2,2.0,1.0,0.45308564231738035
IND382721AAA,0.0,0.0902212632011979,0.0004187774664481739,0.22200846813871836,2,1,11,9,8.419354838709676,6.264705882352941,0.4527392947103274
IND560064AAD,0.0,0.08625430506430956,0.00012801961214218093,0.0,0,1,0,28,24.436363636363634,0.0,0.451117758186398
IND271201AAA,0.0,0.0005660968632017091,0.0007572008269749091,0.25284296821928254,1,1,5,6,6.0,5.0,0.45092884130982364
IND425406AAA,0.0,0.06714636247788851,0.0007926451302861393,0.15522192197281867,2,3,8,5,5.0,8.0,0.4508501259445844
IND403702AAA,0.0,0.09012812185872322,0.00043924397660934707,0.18560030641255304,1,1,8,8,7.747368421052632,8.0,0.45075566750629725
IND621112AAA,6.356819397198709e-06,0.0005334343554863554,0.00023684363975911497,0.0,1,1,24,1,1.0,21.5,0.44935453400503783
IND695121AAA,0.0,0.0501946599488054,0.00027129043540681497,0.15856128829479416,1,1,13,11,11.0,2.5,0.449323047858942
IND362220AAA,0.0,0.001939600127688478,0.0007896426569841749,0.0,1,1,10,5,4.666666666666667,9.444444444444445,0.449323047858942
IND603301AAA,0.0,0.08260713481257916,0.0004743045340525927,0.16872208609155226,1,1,11,11,8.375,4.0,0.4492758186397985
IND384355AAB,0.0,0.07960419432205922,0.0005232831570307146,0.18408083445898388,1,2,8,9,6.894736842105263,8.0,0.4491971032745592
IND144001AAA,0.0,0.06563740325452322,0.0002964179102942791,0.1816990806067561,1,1,2,11,11.0,2.0,0.4490711586901763
IND173025AAA,0.0,0.09314745359888929,0.0003550062444165869,0.21345980309004478,1,1,9,8,8.0,9.0,0.44891372795969775
IND421301AAA,0.0,0.058460308680806,0.0004215394453177375,0.0,1,1,10,7,7.0,10.0,0.4479691435768262
IND620020AAA,0.0,0.00046114107141635816,0.00012801961214218093,0.0,0,1,0,24,21.5,0.0,0.4478117128463476
IND147105AAA,0.0,0.09857823893537407,0.00047782325361955515,0.18244960559068743,2,2,8,7,7.0,8.0,0.4476385390428212
IND000000ACK,0.0,0.0005878025017120984,0.00012801961214218093,0.0,0,1,0,22,21.323076923076922,0.0,0.44759130982367756
IND232104AAB,7.946024246498386e-06,0.0012527539332596238,0.00040060802388673433,0.058470035852703904,1,2,4,2,1.3571428571428572,4.0,0.44680415617128466
IND625531AAA,7.946024246498386e-07,0.0020948135172000693,0.0002187063018229593,0.0,1,1,5,6,5.0,3.333333333333333,0.44670969773299746
IND363001AAA,1.5892048492996772e-06,0.0010594102367904932,0.00023684363975911497,0.0,1,1,8,9,3.9375,4.333333333333333,0.4465994962216625
IND361335AAA,7.1514218218485476e-06,0.0013170180512866077,0.0004079972818604559,0.0,1,1,9,1,0.7777777777777778,9.0,0.4459382871536524
IND307001AAA,0.0010004044526341468,0.0660137237863905,0.00039230654629336605,0.0,1,1,2,1,0.5,1.0,0.44563916876574305
IND643231AAA,0.0,0.0030443795696576755,0.000873902957574935,0.14829642197716422,1,1,11,9,4.0,10.666666666666668,0.4454659949622166
IND305901AAA,0.0,0.07653618922524133,0.0009686754614373132,0.1938112266755348,1,1,12,4,3.6666666666666665,11.666666666666666,0.44543450881612096
IND334001AAC,3.0989494561343705e-05,0.06922104435838987,0.000172245910032384,0.05820593984798039,1,2,2,4,3.3333333333333335,1.8888888888888888,0.4454030226700252
IND184121AAA,0.0,0.10000563439018131,0.0006838722946521294,0.1338005430811607,3,3,9,7,5.715686274509804,7.0,0.445308564231738
IND249201AAA,0.0,0.05686387892078511,0.0003900761777237015,0.0,1,1,11,7,7.0,11.0,0.44511964735516374
IND141003AAB,0.0,0.07944321060646423,0.00012801961214218093,0.2162400441040818,0,2,0,22,20.0,0.0,0.4442852644836272
IND686632AAA,0.0010004044526341468,0.05495628897573237,0.00026749791220352566,0.0,1,1,1,1,1.0,1.0,0.4440963476070529
IND843109AAB,0.0,0.08570416758144501,0.0005276833180406068,0.1989667857333428,2,2,13,8,5.666666666666667,11.8,0.44400188916876576
IND843126AAA,0.0,0.08363682479975634,0.0005421780583004184,0.1989667857333428,2,2,9,8,6.8,6.666666666666667,0.4431360201511335
IND473001AAA,0.0,0.08573463472409788,0.0003503634073035279,0.1806505410112404,1,1,8,8,8.0,8.0,0.4424590680100756
IND144001AAC,0.0,0.09516801838204805,0.00012801961214218093,0.20086043410779303,0,2,0,21,19.242424242424242,0.0,0.442301637279597
IND638001AAA,7.946024246498386e-07,0.0006270459679456261,0.00023684363975911497,0.0,1,1,10,3,3.0,10.0,0.44227015113350127
IND125111AAA,1.5892048492996772e-06,0.07565012540941358,0.0007569445831402244,0.0,1,1,4,2,1.5,0.0,0.4413255667506297
IND380021AAA,0.0,0.0890156339212025,0.00012801961214218093,0.0,0,1,0,19,19.0,0.0,0.44130982367758187
IND341503AAB,0.0,0.06320189043652294,0.0005873817980129001,0.17275246187844256,1,1,6,7,7.0,3.882352941176471,0.44108942065491186
IND743513AAA,0.0,0.06779377430906626,0.0004554547564133951,0.2487428405021812,1,1,4,8,8.0,4.0,0.44028652392947104
IND335701AAA,7.946024246498386e-07,0.074376242253322,0.0007143481511587689,0.03819872064679489,2,1,6,2,1.3333333333333333,2.1634615384615383,0.43992443324937025
IND841226AAB,3.1784096985993543e-06,0.0010096976179802075,0.0003656308808487515,0.09269616638079305,2,1,4,2,2.0,3.5,0.43965680100755666
IND223101AAB,1.5892048492996772e-06,0.0007166905389978031,0.00032935620497644017,0.0,1,1,3,3,3.0,3.0,0.43953085642317385
IND425201AAA,0.0,0.062335822651121545,0.0008827710960238156,0.0,1,1,5,5,5.0,4.545454545454545,0.43926322418136027
IND360490AAA,0.0,0.001764704965269962,0.0007109965971000881,0.0,1,1,1,7,7.0,1.0,0.439168765743073
IND344001AAA,7.946024246498386e-07,0.06317993926518792,0.0003420701644637563,0.08401820505362047,1,3,4,10,3.428571428571429,3.5,0.4390743073047859
IND802119AAA,0.0,0.07847883499615589,0.0004920029105116902,0.2196972257211523,1,1,10,12,6.0,10.0,0.43886964735516376
IND600044AAC,2.383807273949516e-06,0.0009789776210136203,0.000454491694992983,0.0,3,0,40,0,0.0,36.99446786090621,0.43883816120906805
IND852131AAA,0.0,0.0912036271693593,0.0003308528292385436,0.16919722263728476,2,2,8,8,8.0,8.0,0.4387751889168766
IND583119AAA,0.0,0.07938707912994418,0.0004540458775546908,0.2900067194703796,1,1,7,7,7.0,7.0,0.438727959697733
IND676509AAA,2.383807273949516e-06,0.0008577114640538666,0.00023684363975911497,0.0,1,1,5,3,3.0,4.5,0.4385862720403022
